label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor,direction,gate_form,threshold,filter_dir
bearish|htf>=0.3,533,76.2,0.4053,0.2158,12,1.363,bearish,htf>=0.3,0.3,high
bearish|htf<=0.3,319,45.6,0.395,0.185,11,1.306,bearish,htf<=0.3,0.3,low
bearish|htf>=0.35,497,71.0,0.4105,0.2314,12,1.392,bearish,htf>=0.35,0.35,high
bearish|htf<=0.35,355,50.7,0.3887,0.1662,11,1.272,bearish,htf<=0.35,0.35,low
bearish|htf>=0.4,458,65.5,0.4083,0.2249,11,1.38,bearish,htf>=0.4,0.4,high
bearish|htf<=0.4,395,56.5,0.3949,0.1848,10,1.305,bearish,htf<=0.4,0.4,low
bearish|htf>=0.45,421,60.2,0.399,0.1971,11,1.328,bearish,htf>=0.45,0.45,high
bearish|htf<=0.45,431,61.6,0.4037,0.2111,11,1.354,bearish,htf<=0.45,0.45,low
bearish|htf>=0.5,392,56.0,0.3954,0.1862,8,1.308,bearish,htf>=0.5,0.5,high
bearish|htf<=0.5,460,65.8,0.4065,0.2196,11,1.37,bearish,htf<=0.5,0.5,low
bearish|htf>=0.55,355,50.7,0.3775,0.1324,10,1.213,bearish,htf>=0.55,0.55,high
bearish|htf<=0.55,497,71.0,0.4185,0.2555,11,1.439,bearish,htf<=0.55,0.55,low
bearish|htf>=0.6,314,44.9,0.379,0.1369,11,1.221,bearish,htf>=0.6,0.6,high
bearish|htf<=0.6,538,76.9,0.4145,0.2435,11,1.416,bearish,htf<=0.6,0.6,low
bearish|htf>=0.65,271,38.7,0.3911,0.1734,9,1.285,bearish,htf>=0.65,0.65,high
bearish|htf<=0.65,581,83.1,0.4062,0.2186,12,1.368,bearish,htf<=0.65,0.65,low
bearish|htf>=0.7,230,32.9,0.4087,0.2261,7,1.382,bearish,htf>=0.7,0.7,high
bearish|htf<=0.7,622,88.9,0.3987,0.1961,13,1.326,bearish,htf<=0.7,0.7,low
bearish|htf>=0.75,198,28.3,0.4091,0.2273,6,1.385,bearish,htf>=0.75,0.75,high
bearish|htf<=0.75,654,93.5,0.3991,0.1972,13,1.328,bearish,htf<=0.75,0.75,low
bearish|htf>=0.8,169,24.2,0.4142,0.2426,12,1.414,bearish,htf>=0.8,0.8,high
bearish|htf<=0.8,683,97.6,0.3982,0.1947,13,1.324,bearish,htf<=0.8,0.8,low
bullish|htf>=0.3,681,97.4,0.4347,0.3052,16,1.541,bullish,htf>=0.3,0.3,high
bullish|htf<=0.3,334,47.7,0.3653,0.0958,11,1.151,bullish,htf<=0.3,0.3,low
bullish|htf>=0.35,650,92.9,0.4292,0.289,16,1.508,bullish,htf>=0.35,0.35,high
bullish|htf<=0.35,365,52.2,0.3808,0.1425,13,1.23,bullish,htf<=0.35,0.35,low
bullish|htf>=0.4,613,87.6,0.4274,0.2836,15,1.497,bullish,htf>=0.4,0.4,high
bullish|htf<=0.4,402,57.5,0.3881,0.1642,9,1.268,bullish,htf<=0.4,0.4,low
bullish|htf>=0.45,577,82.5,0.4263,0.2805,15,1.49,bullish,htf>=0.45,0.45,high
bullish|htf<=0.45,438,62.6,0.3927,0.1781,8,1.293,bullish,htf<=0.45,0.45,low
bullish|htf>=0.5,536,76.6,0.4254,0.2777,14,1.485,bullish,htf>=0.5,0.5,high
bullish|htf<=0.5,479,68.5,0.3967,0.19,9,1.315,bullish,htf<=0.5,0.5,low
bullish|htf>=0.55,494,70.6,0.4211,0.2649,12,1.459,bullish,htf>=0.55,0.55,high
bullish|htf<=0.55,521,74.5,0.4031,0.2092,9,1.35,bullish,htf<=0.55,0.55,low
bullish|htf>=0.6,454,64.9,0.3965,0.1913,15,1.318,bullish,htf>=0.6,0.6,high
bullish|htf<=0.6,561,80.2,0.4242,0.2727,9,1.474,bullish,htf<=0.6,0.6,low
bullish|htf>=0.65,435,62.2,0.3977,0.1931,15,1.321,bullish,htf>=0.65,0.65,high
bullish|htf<=0.65,580,82.9,0.4224,0.2687,10,1.466,bullish,htf<=0.65,0.65,low
bullish|htf>=0.7,416,59.5,0.3942,0.1827,15,1.302,bullish,htf>=0.7,0.7,high
bullish|htf<=0.7,599,85.6,0.424,0.2736,10,1.476,bullish,htf<=0.7,0.7,low
bullish|htf>=0.75,379,54.2,0.3984,0.1953,13,1.325,bullish,htf>=0.75,0.75,high
bullish|htf<=0.75,636,90.9,0.4198,0.2608,11,1.451,bullish,htf<=0.75,0.75,low
bullish|htf>=0.8,345,49.3,0.3884,0.1652,14,1.27,bullish,htf>=0.8,0.8,high
bullish|htf<=0.8,670,95.8,0.4239,0.2729,11,1.475,bullish,htf<=0.8,0.8,low
portfolio_bearish_only_no_gate,852,121.8,0.4014,0.2042,11,1.341,bearish,direction_only,,dir_only
portfolio_bullish_only_no_gate,1015,145.1,0.4118,0.2363,9,1.402,bullish,direction_only,,dir_only
bear>=0.35 & bull<=0.3,831,118.8,0.3923,0.1769,14,1.291,combined,bear_htf>=0.35_bull_htf<=0.3,0.35,split_low
bear>=0.35 & bull>=0.3,1178,168.4,0.4244,0.2741,14,1.477,combined,bear_htf>=0.35_bull_htf>=0.3,0.35,split_high
bear>=0.35 & bull<=0.35,862,123.2,0.3979,0.1937,12,1.322,combined,bear_htf>=0.35_bull_htf<=0.35,0.35,split_low
bear>=0.35 & bull>=0.35,1147,164.0,0.4211,0.264,14,1.457,combined,bear_htf>=0.35_bull_htf>=0.35,0.35,split_high
bear>=0.35 & bull<=0.4,899,128.5,0.4004,0.2013,9,1.336,combined,bear_htf>=0.35_bull_htf<=0.4,0.35,split_low
bear>=0.35 & bull>=0.4,1110,158.7,0.4198,0.2602,14,1.449,combined,bear_htf>=0.35_bull_htf>=0.4,0.35,split_high
bear>=0.35 & bull<=0.45,935,133.7,0.4021,0.2064,10,1.345,combined,bear_htf>=0.35_bull_htf<=0.45,0.35,split_low
bear>=0.35 & bull>=0.45,1074,153.5,0.419,0.2578,13,1.444,combined,bear_htf>=0.35_bull_htf>=0.45,0.35,split_high
bear>=0.35 & bull<=0.5,976,139.5,0.4037,0.2111,11,1.354,combined,bear_htf>=0.35_bull_htf<=0.5,0.35,split_low
bear>=0.35 & bull>=0.5,1033,147.7,0.4182,0.2554,12,1.44,combined,bear_htf>=0.35_bull_htf>=0.5,0.35,split_high
bear>=0.35 & bull<=0.55,1018,145.5,0.4067,0.22,11,1.371,combined,bear_htf>=0.35_bull_htf<=0.55,0.35,split_low
bear>=0.35 & bull>=0.55,991,141.7,0.4157,0.2481,12,1.425,combined,bear_htf>=0.35_bull_htf>=0.55,0.35,split_high
bear>=0.35 & bull<=0.6,1058,151.2,0.4178,0.2533,11,1.435,combined,bear_htf>=0.35_bull_htf<=0.6,0.35,split_low
bear>=0.35 & bull>=0.6,951,136.0,0.4038,0.2123,12,1.357,combined,bear_htf>=0.35_bull_htf>=0.6,0.35,split_high
bear>=0.35 & bull<=0.65,1077,154.0,0.4169,0.2515,11,1.432,combined,bear_htf>=0.35_bull_htf<=0.65,0.35,split_low
bear>=0.35 & bull>=0.65,932,133.2,0.4045,0.2135,12,1.359,combined,bear_htf>=0.35_bull_htf>=0.65,0.35,split_high
bear>=0.4 & bull<=0.3,792,113.2,0.3902,0.1705,13,1.28,combined,bear_htf>=0.4_bull_htf<=0.3,0.4,split_low
bear>=0.4 & bull>=0.3,1139,162.8,0.4241,0.2729,14,1.474,combined,bear_htf>=0.4_bull_htf>=0.3,0.4,split_high
bear>=0.4 & bull<=0.35,823,117.7,0.3961,0.1883,12,1.312,combined,bear_htf>=0.4_bull_htf<=0.35,0.4,split_low
bear>=0.4 & bull>=0.35,1108,158.4,0.4206,0.2625,14,1.454,combined,bear_htf>=0.4_bull_htf>=0.35,0.4,split_high
bear>=0.4 & bull<=0.4,860,122.9,0.3988,0.1965,10,1.327,combined,bear_htf>=0.4_bull_htf<=0.4,0.4,split_low
bear>=0.4 & bull>=0.4,1071,153.1,0.4192,0.2585,14,1.446,combined,bear_htf>=0.4_bull_htf>=0.4,0.4,split_high
bear>=0.4 & bull<=0.45,896,128.1,0.4007,0.202,10,1.337,combined,bear_htf>=0.4_bull_htf<=0.45,0.4,split_low
bear>=0.4 & bull>=0.45,1035,148.0,0.4184,0.2559,13,1.441,combined,bear_htf>=0.4_bull_htf>=0.45,0.4,split_high
bear>=0.4 & bull<=0.5,937,133.9,0.4023,0.207,11,1.346,combined,bear_htf>=0.4_bull_htf<=0.5,0.4,split_low
bear>=0.4 & bull>=0.5,994,142.1,0.4175,0.2534,12,1.436,combined,bear_htf>=0.4_bull_htf>=0.5,0.4,split_high
bear>=0.4 & bull<=0.55,979,140.0,0.4055,0.2165,11,1.364,combined,bear_htf>=0.4_bull_htf<=0.55,0.4,split_low
bear>=0.4 & bull>=0.55,952,136.1,0.4149,0.2457,12,1.421,combined,bear_htf>=0.4_bull_htf>=0.55,0.4,split_high
bear>=0.4 & bull<=0.6,1019,145.7,0.4171,0.2512,11,1.431,combined,bear_htf>=0.4_bull_htf<=0.6,0.4,split_low
bear>=0.4 & bull>=0.6,912,130.4,0.4024,0.2082,12,1.349,combined,bear_htf>=0.4_bull_htf>=0.6,0.4,split_high
bear>=0.4 & bull<=0.65,1038,148.4,0.4162,0.2494,11,1.428,combined,bear_htf>=0.4_bull_htf<=0.65,0.4,split_low
bear>=0.4 & bull>=0.65,893,127.7,0.4031,0.2094,12,1.351,combined,bear_htf>=0.4_bull_htf>=0.65,0.4,split_high
bear>=0.45 & bull<=0.3,755,107.9,0.3841,0.1523,13,1.247,combined,bear_htf>=0.45_bull_htf<=0.3,0.45,split_low
bear>=0.45 & bull>=0.3,1102,157.5,0.4211,0.2639,13,1.457,combined,bear_htf>=0.45_bull_htf>=0.3,0.45,split_high
bear>=0.45 & bull<=0.35,786,112.4,0.3906,0.1718,12,1.282,combined,bear_htf>=0.45_bull_htf<=0.35,0.45,split_low
bear>=0.45 & bull>=0.35,1071,153.1,0.4174,0.2529,13,1.435,combined,bear_htf>=0.45_bull_htf>=0.35,0.45,split_high
bear>=0.45 & bull<=0.4,823,117.7,0.3937,0.181,9,1.299,combined,bear_htf>=0.45_bull_htf<=0.4,0.45,split_low
bear>=0.45 & bull>=0.4,1034,147.8,0.4159,0.2484,13,1.426,combined,bear_htf>=0.45_bull_htf>=0.4,0.45,split_high
bear>=0.45 & bull<=0.45,859,122.8,0.3958,0.1874,10,1.31,combined,bear_htf>=0.45_bull_htf<=0.45,0.45,split_low
bear>=0.45 & bull>=0.45,998,142.7,0.4148,0.2454,12,1.42,combined,bear_htf>=0.45_bull_htf>=0.45,0.45,split_high
bear>=0.45 & bull<=0.5,900,128.7,0.3978,0.1933,10,1.321,combined,bear_htf>=0.45_bull_htf<=0.5,0.45,split_low
bear>=0.45 & bull>=0.5,957,136.8,0.4138,0.2423,11,1.414,combined,bear_htf>=0.45_bull_htf>=0.5,0.45,split_high
bear>=0.45 & bull<=0.55,942,134.7,0.4013,0.2038,10,1.34,combined,bear_htf>=0.45_bull_htf<=0.55,0.45,split_low
bear>=0.45 & bull>=0.55,915,130.8,0.4109,0.2337,11,1.397,combined,bear_htf>=0.45_bull_htf>=0.55,0.45,split_high
bear>=0.45 & bull<=0.6,982,140.4,0.4134,0.2403,10,1.41,combined,bear_htf>=0.45_bull_htf<=0.6,0.45,split_low
bear>=0.45 & bull>=0.6,875,125.1,0.3977,0.1941,11,1.323,combined,bear_htf>=0.45_bull_htf>=0.6,0.45,split_high
bear>=0.45 & bull<=0.65,1001,143.1,0.4126,0.2386,10,1.407,combined,bear_htf>=0.45_bull_htf<=0.65,0.45,split_low
bear>=0.45 & bull>=0.65,856,122.4,0.3984,0.1951,11,1.324,combined,bear_htf>=0.45_bull_htf>=0.65,0.45,split_high
bear>=0.5 & bull<=0.3,726,103.8,0.3815,0.1446,11,1.234,combined,bear_htf>=0.5_bull_htf<=0.3,0.5,split_low
bear>=0.5 & bull>=0.3,1073,153.4,0.4203,0.2618,13,1.452,combined,bear_htf>=0.5_bull_htf>=0.3,0.5,split_high
bear>=0.5 & bull<=0.35,757,108.2,0.3884,0.1651,11,1.27,combined,bear_htf>=0.5_bull_htf<=0.35,0.5,split_low
bear>=0.5 & bull>=0.35,1042,149.0,0.4165,0.2503,13,1.43,combined,bear_htf>=0.5_bull_htf>=0.35,0.5,split_high
bear>=0.5 & bull<=0.4,794,113.5,0.3917,0.1751,9,1.288,combined,bear_htf>=0.5_bull_htf<=0.4,0.5,split_low
bear>=0.5 & bull>=0.4,1005,143.7,0.4149,0.2456,13,1.42,combined,bear_htf>=0.5_bull_htf>=0.4,0.5,split_high
bear>=0.5 & bull<=0.45,830,118.7,0.394,0.1819,10,1.3,combined,bear_htf>=0.5_bull_htf<=0.45,0.5,split_low
bear>=0.5 & bull>=0.45,969,138.5,0.4138,0.2424,12,1.414,combined,bear_htf>=0.5_bull_htf>=0.45,0.5,split_high
bear>=0.5 & bull<=0.5,871,124.5,0.3961,0.1883,10,1.312,combined,bear_htf>=0.5_bull_htf<=0.5,0.5,split_low
bear>=0.5 & bull>=0.5,928,132.7,0.4127,0.2391,11,1.408,combined,bear_htf>=0.5_bull_htf>=0.5,0.5,split_high
bear>=0.5 & bull<=0.55,913,130.5,0.3998,0.1993,10,1.332,combined,bear_htf>=0.5_bull_htf<=0.55,0.5,split_low
bear>=0.5 & bull>=0.55,886,126.7,0.4097,0.2301,11,1.39,combined,bear_htf>=0.5_bull_htf>=0.55,0.5,split_high
bear>=0.5 & bull<=0.6,953,136.2,0.4124,0.2371,10,1.404,combined,bear_htf>=0.5_bull_htf<=0.6,0.5,split_low
bear>=0.5 & bull>=0.6,846,120.9,0.396,0.189,11,1.313,combined,bear_htf>=0.5_bull_htf>=0.6,0.5,split_high
bear>=0.5 & bull<=0.65,972,139.0,0.4115,0.2355,10,1.401,combined,bear_htf>=0.5_bull_htf<=0.65,0.5,split_low
bear>=0.5 & bull>=0.65,827,118.2,0.3966,0.1898,11,1.315,combined,bear_htf>=0.5_bull_htf>=0.65,0.5,split_high
bear>=0.55 & bull>=0.3,1036,148.1,0.4151,0.246,13,1.421,combined,bear_htf>=0.55_bull_htf>=0.3,0.55,split_high
bear>=0.55 & bull<=0.35,720,102.9,0.3792,0.1375,14,1.221,combined,bear_htf>=0.55_bull_htf<=0.35,0.55,split_low
bear>=0.55 & bull>=0.35,1005,143.7,0.4109,0.2337,13,1.397,combined,bear_htf>=0.55_bull_htf>=0.35,0.55,split_high
bear>=0.55 & bull<=0.4,757,108.2,0.3831,0.1493,11,1.242,combined,bear_htf>=0.55_bull_htf<=0.4,0.55,split_low
bear>=0.55 & bull>=0.4,968,138.4,0.4091,0.2282,13,1.387,combined,bear_htf>=0.55_bull_htf>=0.4,0.55,split_high
bear>=0.55 & bull<=0.45,793,113.4,0.3859,0.1576,11,1.257,combined,bear_htf>=0.55_bull_htf<=0.45,0.55,split_low
bear>=0.55 & bull>=0.45,932,133.2,0.4077,0.2241,12,1.379,combined,bear_htf>=0.55_bull_htf>=0.45,0.55,split_high
bear>=0.55 & bull<=0.5,834,119.2,0.3885,0.1655,12,1.271,combined,bear_htf>=0.55_bull_htf<=0.5,0.55,split_low
bear>=0.55 & bull>=0.5,891,127.4,0.4063,0.2198,11,1.371,combined,bear_htf>=0.55_bull_htf>=0.5,0.55,split_high
bear>=0.55 & bull<=0.55,876,125.2,0.3927,0.1781,12,1.293,combined,bear_htf>=0.55_bull_htf<=0.55,0.55,split_low
bear>=0.55 & bull>=0.55,849,121.4,0.4028,0.2095,11,1.351,combined,bear_htf>=0.55_bull_htf>=0.55,0.55,split_high
bear>=0.55 & bull<=0.6,916,130.9,0.4061,0.2183,11,1.368,combined,bear_htf>=0.55_bull_htf<=0.6,0.55,split_low
bear>=0.55 & bull>=0.6,809,115.7,0.3881,0.1655,11,1.271,combined,bear_htf>=0.55_bull_htf>=0.6,0.55,split_high
bear>=0.55 & bull<=0.65,935,133.7,0.4053,0.217,11,1.365,combined,bear_htf>=0.55_bull_htf<=0.65,0.55,split_low
bear>=0.55 & bull>=0.65,790,112.9,0.3886,0.1658,11,1.271,combined,bear_htf>=0.55_bull_htf>=0.65,0.55,split_high
bear>=0.6 & bull>=0.3,995,142.2,0.4171,0.2521,13,1.433,combined,bear_htf>=0.6_bull_htf>=0.3,0.6,split_high
bear>=0.6 & bull>=0.35,964,137.8,0.4129,0.2395,12,1.409,combined,bear_htf>=0.6_bull_htf>=0.35,0.6,split_high
bear>=0.6 & bull<=0.4,716,102.4,0.3841,0.1522,12,1.247,combined,bear_htf>=0.6_bull_htf<=0.4,0.6,split_low
bear>=0.6 & bull>=0.4,927,132.5,0.411,0.2339,13,1.398,combined,bear_htf>=0.6_bull_htf>=0.4,0.6,split_high
bear>=0.6 & bull<=0.45,752,107.5,0.387,0.1609,11,1.262,combined,bear_htf>=0.6_bull_htf<=0.45,0.6,split_low
bear>=0.6 & bull>=0.45,891,127.4,0.4097,0.2299,12,1.39,combined,bear_htf>=0.6_bull_htf>=0.45,0.6,split_high
bear>=0.6 & bull<=0.5,793,113.4,0.3897,0.169,11,1.277,combined,bear_htf>=0.6_bull_htf<=0.5,0.6,split_low
bear>=0.6 & bull>=0.5,850,121.5,0.4082,0.2257,13,1.382,combined,bear_htf>=0.6_bull_htf>=0.5,0.6,split_high
bear>=0.6 & bull<=0.55,835,119.4,0.394,0.182,11,1.3,combined,bear_htf>=0.6_bull_htf<=0.55,0.6,split_low
bear>=0.6 & bull>=0.55,808,115.5,0.4047,0.2152,11,1.362,combined,bear_htf>=0.6_bull_htf>=0.55,0.6,split_high
bear>=0.6 & bull<=0.6,875,125.1,0.408,0.224,10,1.378,combined,bear_htf>=0.6_bull_htf<=0.6,0.6,split_low
bear>=0.6 & bull>=0.6,768,109.8,0.3893,0.1691,12,1.277,combined,bear_htf>=0.6_bull_htf>=0.6,0.6,split_high
bear>=0.6 & bull<=0.65,894,127.8,0.4072,0.2224,10,1.376,combined,bear_htf>=0.6_bull_htf<=0.65,0.6,split_low
bear>=0.6 & bull>=0.65,749,107.1,0.3899,0.1696,11,1.278,combined,bear_htf>=0.6_bull_htf>=0.65,0.6,split_high
bear>=0.65 & bull>=0.3,952,136.1,0.4223,0.2677,11,1.464,combined,bear_htf>=0.65_bull_htf>=0.3,0.65,split_high
bear>=0.65 & bull>=0.35,921,131.7,0.418,0.255,11,1.439,combined,bear_htf>=0.65_bull_htf>=0.35,0.65,split_high
bear>=0.65 & bull>=0.4,884,126.4,0.4163,0.2498,11,1.429,combined,bear_htf>=0.65_bull_htf>=0.4,0.65,split_high
bear>=0.65 & bull<=0.45,709,101.4,0.3921,0.1763,10,1.29,combined,bear_htf>=0.65_bull_htf<=0.45,0.65,split_low
bear>=0.65 & bull>=0.45,848,121.2,0.4151,0.2463,10,1.422,combined,bear_htf>=0.65_bull_htf>=0.45,0.65,split_high
bear>=0.65 & bull<=0.5,750,107.2,0.3947,0.184,10,1.304,combined,bear_htf>=0.65_bull_htf<=0.5,0.65,split_low
bear>=0.65 & bull>=0.5,807,115.4,0.4139,0.2427,11,1.415,combined,bear_htf>=0.65_bull_htf>=0.5,0.65,split_high
bear>=0.65 & bull<=0.55,792,113.2,0.399,0.197,10,1.328,combined,bear_htf>=0.65_bull_htf<=0.55,0.65,split_low
bear>=0.65 & bull>=0.55,765,109.4,0.4105,0.2325,11,1.395,combined,bear_htf>=0.65_bull_htf>=0.55,0.65,split_high
bear>=0.65 & bull<=0.6,832,118.9,0.4135,0.2404,10,1.41,combined,bear_htf>=0.65_bull_htf<=0.6,0.65,split_low
bear>=0.65 & bull>=0.6,725,103.6,0.3945,0.1846,10,1.306,combined,bear_htf>=0.65_bull_htf>=0.6,0.65,split_high
bear>=0.65 & bull<=0.65,851,121.7,0.4125,0.2384,10,1.406,combined,bear_htf>=0.65_bull_htf<=0.65,0.65,split_low
bear>=0.65 & bull>=0.65,706,100.9,0.3952,0.1856,10,1.307,combined,bear_htf>=0.65_bull_htf>=0.65,0.65,split_high
bear>=0.7 & bull>=0.3,911,130.2,0.4281,0.2852,10,1.5,combined,bear_htf>=0.7_bull_htf>=0.3,0.7,split_high
bear>=0.7 & bull>=0.35,880,125.8,0.4239,0.2726,10,1.474,combined,bear_htf>=0.7_bull_htf>=0.35,0.7,split_high
bear>=0.7 & bull>=0.4,843,120.5,0.4223,0.2679,10,1.465,combined,bear_htf>=0.7_bull_htf>=0.4,0.7,split_high
bear>=0.7 & bull>=0.45,807,115.4,0.4213,0.265,9,1.459,combined,bear_htf>=0.7_bull_htf>=0.45,0.7,split_high
bear>=0.7 & bull<=0.5,709,101.4,0.4006,0.2017,10,1.336,combined,bear_htf>=0.7_bull_htf<=0.5,0.7,split_low
bear>=0.7 & bull>=0.5,766,109.5,0.4204,0.2622,11,1.453,combined,bear_htf>=0.7_bull_htf>=0.5,0.7,split_high
bear>=0.7 & bull<=0.55,751,107.4,0.4048,0.2144,10,1.36,combined,bear_htf>=0.7_bull_htf<=0.55,0.7,split_low
bear>=0.7 & bull>=0.55,724,103.5,0.4171,0.2526,11,1.434,combined,bear_htf>=0.7_bull_htf>=0.55,0.7,split_high
bear>=0.7 & bull<=0.6,791,113.1,0.4197,0.2592,9,1.447,combined,bear_htf>=0.7_bull_htf<=0.6,0.7,split_low
bear>=0.7 & bull<=0.65,810,115.8,0.4185,0.2566,9,1.442,combined,bear_htf>=0.7_bull_htf<=0.65,0.7,split_low
bear>=0.75 & bull>=0.3,879,125.7,0.4289,0.2877,10,1.505,combined,bear_htf>=0.75_bull_htf>=0.3,0.75,split_high
bear>=0.75 & bull>=0.35,848,121.2,0.4245,0.2746,9,1.478,combined,bear_htf>=0.75_bull_htf>=0.35,0.75,split_high
bear>=0.75 & bull>=0.4,811,115.9,0.4229,0.2699,9,1.469,combined,bear_htf>=0.75_bull_htf>=0.4,0.75,split_high
bear>=0.75 & bull>=0.45,775,110.8,0.4219,0.2669,9,1.463,combined,bear_htf>=0.75_bull_htf>=0.45,0.75,split_high
bear>=0.75 & bull>=0.5,734,104.9,0.421,0.2641,11,1.457,combined,bear_htf>=0.75_bull_htf>=0.5,0.75,split_high
bear>=0.75 & bull<=0.55,719,102.8,0.4047,0.2142,10,1.36,combined,bear_htf>=0.75_bull_htf<=0.55,0.75,split_low
bear>=0.75 & bull<=0.6,759,108.5,0.4203,0.2609,10,1.45,combined,bear_htf>=0.75_bull_htf<=0.6,0.75,split_low
bear>=0.75 & bull<=0.65,778,111.2,0.419,0.2582,10,1.445,combined,bear_htf>=0.75_bull_htf<=0.65,0.75,split_low
bear>=0.8 & bull>=0.3,850,121.5,0.4306,0.2928,10,1.515,combined,bear_htf>=0.8_bull_htf>=0.3,0.8,split_high
bear>=0.8 & bull>=0.35,819,117.1,0.4261,0.2794,9,1.488,combined,bear_htf>=0.8_bull_htf>=0.35,0.8,split_high
bear>=0.8 & bull>=0.4,782,111.8,0.4246,0.2748,9,1.478,combined,bear_htf>=0.8_bull_htf>=0.4,0.8,split_high
bear>=0.8 & bull>=0.45,746,106.6,0.4236,0.2719,9,1.473,combined,bear_htf>=0.8_bull_htf>=0.45,0.8,split_high
bear>=0.8 & bull>=0.5,705,100.8,0.4227,0.2693,11,1.467,combined,bear_htf>=0.8_bull_htf>=0.5,0.8,split_high
bear>=0.8 & bull<=0.6,730,104.4,0.4219,0.2658,13,1.46,combined,bear_htf>=0.8_bull_htf<=0.6,0.8,split_low
bear>=0.8 & bull<=0.65,749,107.1,0.4206,0.2628,9,1.455,combined,bear_htf>=0.8_bull_htf<=0.65,0.8,split_low
dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=2,773,110.5,0.4373,0.3118,11,1.554,combined,dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=2,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=2,713,101.9,0.4264,0.2791,9,1.487,combined,dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=2,0.45,dir_split_gate
dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=3,839,119.9,0.4303,0.2908,11,1.51,combined,dir_split_htf>=0.4/<=0.6 & bars_between_retest_and_break<=3,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=3,775,110.8,0.4181,0.2542,9,1.437,combined,dir_split_htf>=0.45/<=0.55 & bars_between_retest_and_break<=3,0.45,dir_split_gate
dir_split_htf>=0.5/<=0.5 & bars_between_retest_and_break<=3,717,102.5,0.4142,0.2427,9,1.414,combined,dir_split_htf>=0.5/<=0.5 & bars_between_retest_and_break<=3,0.5,dir_split_gate
dir_split_htf>=0.4/<=0.6 & distance_to_next_htf_obstacle_atr>=0.25,821,117.4,0.4239,0.2716,10,1.471,combined,dir_split_htf>=0.4/<=0.6 & distance_to_next_htf_obstacle_atr>=0.25,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & distance_to_next_htf_obstacle_atr>=0.25,773,110.5,0.4101,0.2303,10,1.39,combined,dir_split_htf>=0.45/<=0.55 & distance_to_next_htf_obstacle_atr>=0.25,0.45,dir_split_gate
dir_split_htf>=0.5/<=0.5 & distance_to_next_htf_obstacle_atr>=0.25,715,102.2,0.4028,0.2084,11,1.349,combined,dir_split_htf>=0.5/<=0.5 & distance_to_next_htf_obstacle_atr>=0.25,0.5,dir_split_gate
dir_split_htf>=0.4/<=0.6 & break_close_location>=0.65,734,104.9,0.4264,0.2793,9,1.487,combined,dir_split_htf>=0.4/<=0.6 & break_close_location>=0.65,0.4,dir_split_gate
dir_split_htf>=0.4/<=0.6 & max_retest_penetration_atr<=1.25,801,114.5,0.432,0.2959,9,1.521,combined,dir_split_htf>=0.4/<=0.6 & max_retest_penetration_atr<=1.25,0.4,dir_split_gate
dir_split_htf>=0.45/<=0.55 & max_retest_penetration_atr<=1.25,738,105.5,0.4187,0.2561,9,1.441,combined,dir_split_htf>=0.45/<=0.55 & max_retest_penetration_atr<=1.25,0.45,dir_split_gate
