bear_gate,bull_gate,gate_combined,n_trades,tpy,win_pct,expectancy_r,max_losing_streak,profit_factor
aoi_touch_count_since_creation<=3.0,session_directional_bias>=0.2,bear[aoi_touch_count_since_creation<=3.0]  +  bull[session_directional_bias>=0.2],834,119.2,0.4856,0.4642,12,1.909
aoi_touch_count_since_creation<=3.0,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_touch_count_since_creation<=3.0]  +  bull[signal_candle_opposite_extreme_atr<=0.58],927,132.5,0.4779,0.4349,13,1.835
aoi_touch_count_since_creation<=3.0,aoi_last_reaction_strength>=0.84,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_last_reaction_strength>=0.84],850,121.5,0.4776,0.443,11,1.857
aoi_touch_count_since_creation<=3.0,aoi_height_atr<=1.12,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_height_atr<=1.12],934,133.5,0.4775,0.4533,11,1.891
aoi_touch_count_since_creation<=3.0,break_impulse_body_atr<=0.37,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_body_atr<=0.37],924,132.1,0.4773,0.433,11,1.83
aoi_touch_count_since_creation<=3.0,aoi_near_edge_atr<=0.14,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_near_edge_atr<=0.14],922,131.8,0.4761,0.432,10,1.828
aoi_touch_count_since_creation<=3.0,distance_from_last_impulse_atr<=0.38,bear[aoi_touch_count_since_creation<=3.0]  +  bull[distance_from_last_impulse_atr<=0.38],929,132.8,0.4747,0.4253,13,1.811
aoi_touch_count_since_creation<=3.0,aoi_far_edge_atr<=1.43,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_far_edge_atr<=1.43],932,133.2,0.4742,0.4312,9,1.829
aoi_touch_count_since_creation<=3.0,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_touch_count_since_creation<=3.0]  +  bull[recent_trend_payoff_atr_48h<=-3.34],930,132.9,0.4742,0.4335,13,1.835
aoi_touch_count_since_creation<=3.0,break_impulse_range_atr<=0.83,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_range_atr<=0.83],925,132.2,0.4735,0.4217,11,1.803
aoi_touch_count_since_creation<=3.0,distance_from_last_impulse_atr>=2.23,bear[aoi_touch_count_since_creation<=3.0]  +  bull[distance_from_last_impulse_atr>=2.23],930,132.9,0.4731,0.4269,14,1.818
aoi_touch_count_since_creation<=3.0,aoi_midpoint_range_position_mid<=0.43,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_midpoint_range_position_mid<=0.43],930,132.9,0.472,0.4243,11,1.812
aoi_touch_count_since_creation<=3.0,break_close_location<=0.67,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_close_location<=0.67],926,132.4,0.4719,0.4186,11,1.796
break_impulse_body_atr<=0.34,session_directional_bias>=0.2,bear[break_impulse_body_atr<=0.34]  +  bull[session_directional_bias>=0.2],690,98.6,0.4681,0.4116,7,1.778
max_retest_penetration_atr<=0.46,session_directional_bias>=0.2,bear[max_retest_penetration_atr<=0.46]  +  bull[session_directional_bias>=0.2],688,98.4,0.4666,0.4119,9,1.781
signal_candle_opposite_extreme_atr<=0.53,session_directional_bias>=0.2,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[session_directional_bias>=0.2],687,98.2,0.4658,0.4047,7,1.762
break_impulse_range_atr<=0.72,session_directional_bias>=0.2,bear[break_impulse_range_atr<=0.72]  +  bull[session_directional_bias>=0.2],687,98.2,0.4643,0.4037,8,1.76
aoi_touch_count_since_creation<=3.0,break_impulse_range_atr<=1.14,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_range_atr<=1.14],1339,191.4,0.463,0.3908,16,1.73
htf_range_size_mid_atr>=25.16,session_directional_bias>=0.2,bear[htf_range_size_mid_atr>=25.16]  +  bull[session_directional_bias>=0.2],692,98.9,0.4624,0.3957,12,1.742
break_impulse_body_atr<=0.34,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_body_atr<=0.34]  +  bull[signal_candle_opposite_extreme_atr<=0.58],783,111.9,0.461,0.3831,8,1.711
break_impulse_body_atr<=0.34,aoi_height_atr<=1.12,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_height_atr<=1.12],790,112.9,0.4608,0.4054,11,1.773
break_impulse_body_atr<=0.34,break_impulse_body_atr<=0.37,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_body_atr<=0.37],780,111.5,0.4603,0.3808,10,1.705
aoi_touch_count_since_creation<=3.0,signal_candle_opposite_extreme_atr<=0.87,bear[aoi_touch_count_since_creation<=3.0]  +  bull[signal_candle_opposite_extreme_atr<=0.87],1345,192.3,0.4602,0.3826,14,1.711
aoi_touch_count_since_creation<=3.0,break_impulse_body_atr<=0.64,bear[aoi_touch_count_since_creation<=3.0]  +  bull[break_impulse_body_atr<=0.64],1335,190.8,0.4599,0.3838,13,1.715
max_retest_penetration_atr<=0.46,signal_candle_opposite_extreme_atr<=0.58,bear[max_retest_penetration_atr<=0.46]  +  bull[signal_candle_opposite_extreme_atr<=0.58],781,111.6,0.4597,0.3833,11,1.713
max_retest_penetration_atr<=0.46,aoi_height_atr<=1.12,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_height_atr<=1.12],788,112.6,0.4594,0.4057,12,1.775
signal_candle_opposite_extreme_atr<=0.53,signal_candle_opposite_extreme_atr<=0.58,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[signal_candle_opposite_extreme_atr<=0.58],780,111.5,0.459,0.3769,10,1.697
break_impulse_body_atr<=0.34,aoi_near_edge_atr<=0.14,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_near_edge_atr<=0.14],778,111.2,0.4589,0.3794,9,1.703
break_impulse_body_atr<=0.34,aoi_last_reaction_strength>=0.84,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_last_reaction_strength>=0.84],706,100.9,0.4589,0.3873,9,1.722
max_retest_penetration_atr<=0.46,break_impulse_body_atr<=0.37,bear[max_retest_penetration_atr<=0.46]  +  bull[break_impulse_body_atr<=0.37],778,111.2,0.4589,0.381,11,1.707
signal_candle_opposite_extreme_atr<=0.53,aoi_height_atr<=1.12,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_height_atr<=1.12],787,112.5,0.4587,0.3994,10,1.759
signal_candle_opposite_extreme_atr<=0.53,break_impulse_body_atr<=0.37,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_impulse_body_atr<=0.37],777,111.1,0.4582,0.3745,11,1.691
break_impulse_range_atr<=0.72,signal_candle_opposite_extreme_atr<=0.58,bear[break_impulse_range_atr<=0.72]  +  bull[signal_candle_opposite_extreme_atr<=0.58],780,111.5,0.4577,0.376,11,1.695
max_retest_penetration_atr<=0.46,aoi_near_edge_atr<=0.14,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_near_edge_atr<=0.14],776,110.9,0.4575,0.3796,9,1.705
max_retest_penetration_atr<=0.46,aoi_last_reaction_strength>=0.84,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_last_reaction_strength>=0.84],704,100.6,0.4574,0.3876,13,1.724
break_impulse_range_atr<=0.72,aoi_height_atr<=1.12,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_height_atr<=1.12],787,112.5,0.4574,0.3985,11,1.757
aoi_touch_count_since_creation<=4.0,session_directional_bias>=0.2,bear[aoi_touch_count_since_creation<=4.0]  +  bull[session_directional_bias>=0.2],1089,155.7,0.4573,0.38,12,1.706
break_impulse_body_atr<=0.34,distance_from_last_impulse_atr<=0.38,bear[break_impulse_body_atr<=0.34]  +  bull[distance_from_last_impulse_atr<=0.38],785,112.2,0.4573,0.372,13,1.685
break_impulse_body_atr<=0.34,aoi_far_edge_atr<=1.43,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_far_edge_atr<=1.43],788,112.6,0.4569,0.3791,10,1.705
break_impulse_range_atr<=0.72,break_impulse_body_atr<=0.37,bear[break_impulse_range_atr<=0.72]  +  bull[break_impulse_body_atr<=0.37],777,111.1,0.4569,0.3736,9,1.69
signal_candle_opposite_extreme_atr<=0.53,aoi_near_edge_atr<=0.14,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_near_edge_atr<=0.14],775,110.8,0.4568,0.3732,10,1.689
break_impulse_body_atr<=0.34,recent_trend_payoff_atr_48h<=-3.34,bear[break_impulse_body_atr<=0.34]  +  bull[recent_trend_payoff_atr_48h<=-3.34],786,112.4,0.4567,0.3817,11,1.712
signal_candle_opposite_extreme_atr<=0.53,aoi_last_reaction_strength>=0.84,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_last_reaction_strength>=0.84],703,100.5,0.4566,0.3804,13,1.706
aoi_touch_count_since_creation<=3.0,recent_trend_payoff_atr_24h<=-0.38,bear[aoi_touch_count_since_creation<=3.0]  +  bull[recent_trend_payoff_atr_24h<=-0.38],1337,191.1,0.4562,0.3787,14,1.705
htf_range_size_mid_atr>=25.16,signal_candle_opposite_extreme_atr<=0.58,bear[htf_range_size_mid_atr>=25.16]  +  bull[signal_candle_opposite_extreme_atr<=0.58],785,112.2,0.4561,0.3692,12,1.68
aoi_touch_count_since_creation<=3.0,aoi_near_edge_atr<=0.32,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_near_edge_atr<=0.32],1331,190.3,0.456,0.3717,12,1.687
max_retest_penetration_atr<=0.46,distance_from_last_impulse_atr<=0.38,bear[max_retest_penetration_atr<=0.46]  +  bull[distance_from_last_impulse_atr<=0.38],783,111.9,0.4559,0.3721,11,1.687
aoi_touch_count_since_creation<=3.0,distance_from_last_impulse_atr>=0.93,bear[aoi_touch_count_since_creation<=3.0]  +  bull[distance_from_last_impulse_atr>=0.93],1336,191.0,0.4558,0.3793,16,1.706
break_impulse_body_atr<=0.34,break_impulse_range_atr<=0.83,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_range_atr<=0.83],781,111.6,0.4558,0.3675,8,1.675
htf_range_size_mid_atr>=25.16,aoi_height_atr<=1.12,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_height_atr<=1.12],792,113.2,0.4558,0.3915,9,1.741
break_impulse_body_atr<=0.34,distance_from_last_impulse_atr>=2.23,bear[break_impulse_body_atr<=0.34]  +  bull[distance_from_last_impulse_atr>=2.23],786,112.4,0.4555,0.3739,10,1.692
max_retest_penetration_atr<=0.46,aoi_far_edge_atr<=1.43,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_far_edge_atr<=1.43],786,112.4,0.4555,0.3793,9,1.707
break_impulse_range_atr<=0.72,aoi_near_edge_atr<=0.14,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_near_edge_atr<=0.14],775,110.8,0.4555,0.3722,11,1.687
max_retest_penetration_atr<=0.46,recent_trend_payoff_atr_48h<=-3.34,bear[max_retest_penetration_atr<=0.46]  +  bull[recent_trend_payoff_atr_48h<=-3.34],784,112.1,0.4554,0.3819,10,1.714
signal_candle_opposite_extreme_atr<=0.53,distance_from_last_impulse_atr<=0.38,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[distance_from_last_impulse_atr<=0.38],782,111.8,0.4552,0.3657,16,1.671
break_impulse_range_atr<=0.72,aoi_last_reaction_strength>=0.84,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_last_reaction_strength>=0.84],703,100.5,0.4552,0.3794,11,1.704
htf_range_size_mid_atr>=25.16,break_impulse_body_atr<=0.37,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_impulse_body_atr<=0.37],782,111.8,0.4552,0.3668,13,1.675
signal_candle_opposite_extreme_atr<=0.53,aoi_far_edge_atr<=1.43,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_far_edge_atr<=1.43],785,112.2,0.4548,0.3729,10,1.691
signal_candle_opposite_extreme_atr<=0.53,recent_trend_payoff_atr_48h<=-3.34,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[recent_trend_payoff_atr_48h<=-3.34],783,111.9,0.4547,0.3755,9,1.697
max_retest_penetration_atr<=0.46,break_impulse_range_atr<=0.83,bear[max_retest_penetration_atr<=0.46]  +  bull[break_impulse_range_atr<=0.83],779,111.4,0.4544,0.3676,9,1.677
break_impulse_body_atr<=0.34,aoi_midpoint_range_position_mid<=0.43,bear[break_impulse_body_atr<=0.34]  +  bull[aoi_midpoint_range_position_mid<=0.43],786,112.4,0.4542,0.3709,12,1.686
max_retest_penetration_atr<=0.46,distance_from_last_impulse_atr>=2.23,bear[max_retest_penetration_atr<=0.46]  +  bull[distance_from_last_impulse_atr>=2.23],784,112.1,0.4541,0.3741,12,1.694
break_impulse_body_atr<=0.34,break_close_location<=0.67,bear[break_impulse_body_atr<=0.34]  +  bull[break_close_location<=0.67],782,111.8,0.454,0.3638,10,1.668
break_impulse_range_atr<=0.72,distance_from_last_impulse_atr<=0.38,bear[break_impulse_range_atr<=0.72]  +  bull[distance_from_last_impulse_atr<=0.38],782,111.8,0.454,0.3648,11,1.67
htf_range_size_mid_atr>=25.16,aoi_near_edge_atr<=0.14,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_near_edge_atr<=0.14],780,111.5,0.4538,0.3654,10,1.672
signal_candle_opposite_extreme_atr<=0.53,break_impulse_range_atr<=0.83,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_impulse_range_atr<=0.83],778,111.2,0.4537,0.3612,8,1.661
aoi_touch_count_since_creation<=4.0,signal_candle_opposite_extreme_atr<=0.58,bear[aoi_touch_count_since_creation<=4.0]  +  bull[signal_candle_opposite_extreme_atr<=0.58],1182,169.0,0.4535,0.3636,11,1.668
break_impulse_range_atr<=0.72,aoi_far_edge_atr<=1.43,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_far_edge_atr<=1.43],785,112.2,0.4535,0.372,10,1.689
signal_candle_opposite_extreme_atr<=0.53,distance_from_last_impulse_atr>=2.23,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[distance_from_last_impulse_atr>=2.23],783,111.9,0.4534,0.3677,11,1.678
break_impulse_range_atr<=0.72,recent_trend_payoff_atr_48h<=-3.34,bear[break_impulse_range_atr<=0.72]  +  bull[recent_trend_payoff_atr_48h<=-3.34],783,111.9,0.4534,0.3746,12,1.696
htf_range_size_mid_atr>=25.16,aoi_last_reaction_strength>=0.84,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_last_reaction_strength>=0.84],708,101.2,0.4534,0.3718,11,1.688
aoi_touch_count_since_creation<=4.0,aoi_height_atr<=1.12,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_height_atr<=1.12],1189,170.0,0.4533,0.3786,11,1.708
aoi_touch_count_since_creation<=4.0,break_impulse_body_atr<=0.37,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_impulse_body_atr<=0.37],1179,168.5,0.4529,0.362,13,1.665
max_retest_penetration_atr<=0.46,aoi_midpoint_range_position_mid<=0.43,bear[max_retest_penetration_atr<=0.46]  +  bull[aoi_midpoint_range_position_mid<=0.43],784,112.1,0.4528,0.371,12,1.688
max_retest_penetration_atr<=0.46,break_close_location<=0.67,bear[max_retest_penetration_atr<=0.46]  +  bull[break_close_location<=0.67],780,111.5,0.4526,0.364,9,1.67
break_impulse_range_atr<=0.72,break_impulse_range_atr<=0.83,bear[break_impulse_range_atr<=0.72]  +  bull[break_impulse_range_atr<=0.83],778,111.2,0.4524,0.3603,10,1.659
htf_range_size_mid_atr>=25.16,distance_from_last_impulse_atr<=0.38,bear[htf_range_size_mid_atr>=25.16]  +  bull[distance_from_last_impulse_atr<=0.38],787,112.5,0.4524,0.3581,13,1.655
signal_candle_opposite_extreme_atr<=0.53,aoi_midpoint_range_position_mid<=0.43,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[aoi_midpoint_range_position_mid<=0.43],783,111.9,0.4521,0.3646,11,1.672
break_impulse_range_atr<=0.72,distance_from_last_impulse_atr>=2.23,bear[break_impulse_range_atr<=0.72]  +  bull[distance_from_last_impulse_atr>=2.23],783,111.9,0.4521,0.3668,12,1.676
aoi_touch_count_since_creation<=4.0,aoi_near_edge_atr<=0.14,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_near_edge_atr<=0.14],1177,168.3,0.452,0.3611,12,1.663
signal_candle_opposite_extreme_atr<=0.53,break_close_location<=0.67,bear[signal_candle_opposite_extreme_atr<=0.53]  +  bull[break_close_location<=0.67],779,111.4,0.4519,0.3575,10,1.654
htf_range_size_mid_atr>=25.16,aoi_far_edge_atr<=1.43,bear[htf_range_size_mid_atr>=25.16]  +  bull[aoi_far_edge_atr<=1.43],790,112.9,0.4519,0.3652,10,1.675
htf_range_size_mid_atr>=25.16,recent_trend_payoff_atr_48h<=-3.34,bear[htf_range_size_mid_atr>=25.16]  +  bull[recent_trend_payoff_atr_48h<=-3.34],788,112.6,0.4518,0.3678,12,1.681
aoi_touch_count_since_creation<=4.0,aoi_last_reaction_strength>=0.84,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_last_reaction_strength>=0.84],1105,158.0,0.4516,0.365,14,1.672
break_impulse_body_atr<=0.59,session_directional_bias>=0.2,bear[break_impulse_body_atr<=0.59]  +  bull[session_directional_bias>=0.2],1074,153.5,0.4516,0.3609,14,1.662
aoi_touch_count_since_creation<=4.0,distance_from_last_impulse_atr<=0.38,bear[aoi_touch_count_since_creation<=4.0]  +  bull[distance_from_last_impulse_atr<=0.38],1184,169.3,0.451,0.3563,15,1.652
break_impulse_range_atr<=0.72,aoi_midpoint_range_position_mid<=0.43,bear[break_impulse_range_atr<=0.72]  +  bull[aoi_midpoint_range_position_mid<=0.43],783,111.9,0.4508,0.3637,11,1.67
htf_range_size_mid_atr>=25.16,break_impulse_range_atr<=0.83,bear[htf_range_size_mid_atr>=25.16]  +  bull[break_impulse_range_atr<=0.83],783,111.9,0.4508,0.3535,14,1.645
aoi_touch_count_since_creation<=4.0,aoi_far_edge_atr<=1.43,bear[aoi_touch_count_since_creation<=4.0]  +  bull[aoi_far_edge_atr<=1.43],1187,169.7,0.4507,0.361,11,1.665
aoi_touch_count_since_creation<=4.0,recent_trend_payoff_atr_48h<=-3.34,bear[aoi_touch_count_since_creation<=4.0]  +  bull[recent_trend_payoff_atr_48h<=-3.34],1185,169.4,0.4506,0.3628,14,1.669
break_impulse_range_atr<=0.72,break_close_location<=0.67,bear[break_impulse_range_atr<=0.72]  +  bull[break_close_location<=0.67],779,111.4,0.4506,0.3566,9,1.652
htf_range_size_mid_atr>=25.16,distance_from_last_impulse_atr>=2.23,bear[htf_range_size_mid_atr>=25.16]  +  bull[distance_from_last_impulse_atr>=2.23],788,112.6,0.4505,0.36,9,1.662
break_impulse_body_atr<=0.34,break_impulse_range_atr<=1.14,bear[break_impulse_body_atr<=0.34]  +  bull[break_impulse_range_atr<=1.14],1195,170.8,0.4502,0.3516,15,1.641
aoi_touch_count_since_creation<=4.0,break_impulse_range_atr<=0.83,bear[aoi_touch_count_since_creation<=4.0]  +  bull[break_impulse_range_atr<=0.83],1180,168.7,0.45,0.3532,11,1.645
aoi_touch_count_since_creation<=4.0,distance_from_last_impulse_atr>=2.23,bear[aoi_touch_count_since_creation<=4.0]  +  bull[distance_from_last_impulse_atr>=2.23],1185,169.4,0.4498,0.3576,11,1.656
htf_pos>=0.78,session_directional_bias>=0.2,bear[htf_pos>=0.78]  +  bull[session_directional_bias>=0.2],1001,143.1,0.4496,0.3537,13,1.645
aoi_touch_count_since_creation<=3.0,aoi_midpoint_range_position_high<=0.81,bear[aoi_touch_count_since_creation<=3.0]  +  bull[aoi_midpoint_range_position_high<=0.81],1736,248.2,0.4493,0.3601,18,1.663
