sl_model,group,symbols,best_window,best_window_hours,viable,grp_n_trades,grp_trades_per_year,grp_win_pct,grp_expectancy_r,grp_max_losing_streak,grp_profit_factor
SL_AOI_FAR,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+4h,"[3, 4, 5, 6]",False,467,66.8,0.3298,0.0052,16,1.008
SL_AOI_FAR,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",True,581,83.1,0.3701,0.1443,12,1.236
SL_AOI_FAR,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h18+3h,"[18, 19, 20]",False,395,56.5,0.3418,0.0425,18,1.066
SL_AOI_FAR,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",False,945,135.1,0.3492,0.1372,12,1.229
SL_AOI_FAR,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h16+3h,"[16, 17, 18]",False,537,76.8,0.3333,0.0612,12,1.097
SL_AOI_FAR_PLUS_0_25,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+4h,"[3, 4, 5, 6]",False,467,66.8,0.3169,0.0127,16,1.02
SL_AOI_FAR_PLUS_0_25,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",False,581,83.1,0.358,0.1199,13,1.195
SL_AOI_FAR_PLUS_0_25,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h03+4h,"[3, 4, 5, 6]",False,562,80.3,0.3381,0.0639,16,1.101
SL_AOI_FAR_PLUS_0_25,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h11+3h,"[11, 12, 13]",False,841,120.2,0.3353,0.1106,12,1.183
SL_AOI_FAR_PLUS_0_25,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h20+3h,"[20, 21, 22]",False,465,66.5,0.3398,0.0471,11,1.073
SL_AOI_NEAR_PLUS_0_25,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h15+3h,"[15, 16, 17]",False,398,56.9,0.3543,0.0628,10,1.097
SL_AOI_NEAR_PLUS_0_25,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",False,581,83.1,0.3408,0.028,16,1.043
SL_AOI_NEAR_PLUS_0_25,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h13+3h,"[13, 14, 15]",True,928,132.7,0.3772,0.1358,13,1.219
SL_AOI_NEAR_PLUS_0_25,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h21+3h,"[21, 22, 23]",True,535,76.5,0.3682,0.1071,16,1.17
SL_AOI_NEAR_PLUS_0_5,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h08+4h,"[8, 9, 10, 11]",False,511,73.0,0.3366,0.0165,14,1.025
SL_AOI_NEAR_PLUS_0_5,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h11+3h,"[11, 12, 13]",False,630,90.1,0.3413,0.0424,14,1.066
SL_AOI_NEAR_PLUS_0_5,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h07+3h,"[7, 8, 9]",False,539,77.1,0.3284,0.0035,12,1.005
SL_AOI_NEAR_PLUS_0_5,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3757,0.1419,16,1.23
SL_AOI_NEAR_PLUS_0_5,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h21+3h,"[21, 22, 23]",False,535,76.5,0.3551,0.0678,16,1.105
SL_ATR_0_5,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h08+4h,"[8, 9, 10, 11]",False,511,73.0,0.3464,0.0391,19,1.06
SL_ATR_0_5,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h01+3h,"[1, 2, 3]",False,525,75.1,0.341,0.0229,12,1.035
SL_ATR_0_5,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h04+3h,"[4, 5, 6]",False,438,62.6,0.3402,0.0205,15,1.031
SL_ATR_0_5,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3746,0.1238,13,1.198
SL_ATR_0_5,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h07+3h,"[7, 8, 9]",False,674,96.4,0.3472,0.0415,12,1.064
SL_ATR_1_0,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h01+3h,"[1, 2, 3]",False,447,63.9,0.349,0.047,13,1.072
SL_ATR_1_0,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",False,581,83.1,0.3546,0.0637,10,1.099
SL_ATR_1_0,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h03+3h,"[3, 4, 5]",False,380,54.3,0.3579,0.0737,10,1.115
SL_ATR_1_0,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3862,0.1616,11,1.264
SL_ATR_1_0,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h21+5h,"[21, 22, 23, 0, 1]",False,980,140.1,0.3439,0.0316,14,1.048
SL_ATR_1_5,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+4h,"[3, 4, 5, 6]",False,467,66.8,0.3383,0.0261,16,1.04
SL_ATR_1_5,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h01+4h,"[1, 2, 3, 4]",True,637,91.1,0.3689,0.1111,14,1.177
SL_ATR_1_5,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h04+3h,"[4, 5, 6]",False,438,62.6,0.3447,0.049,13,1.075
SL_ATR_1_5,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3746,0.1475,12,1.241
SL_ATR_1_5,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h16+3h,"[16, 17, 18]",False,537,76.8,0.3426,0.0479,13,1.074
SL_ATR_2_0,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h03+3h,"[3, 4, 5]",False,323,46.2,0.3313,0.0317,19,1.049
SL_ATR_2_0,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h23+3h,"[23, 0, 1]",False,581,83.1,0.3597,0.122,15,1.198
SL_ATR_2_0,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h06+4h,"[6, 7, 8, 9]",False,721,103.1,0.3384,0.0823,13,1.132
SL_ATR_2_0,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3651,0.1838,10,1.317
SL_ATR_2_0,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h20+3h,"[20, 21, 22]",False,465,66.5,0.3505,0.0763,17,1.12
SL_SIGNAL_CANDLE,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h15+3h,"[15, 16, 17]",False,398,56.9,0.3543,0.0702,10,1.11
SL_SIGNAL_CANDLE,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h11+3h,"[11, 12, 13]",False,630,90.1,0.3476,0.0736,16,1.116
SL_SIGNAL_CANDLE,gbp_crosses,"['GBPAUD', 'GBPCAD', 'GBPCHF', 'GBPNZD']",h02+4h,"[2, 3, 4, 5]",False,537,76.8,0.3389,0.0207,13,1.031
SL_SIGNAL_CANDLE,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3757,0.1579,16,1.259
SL_SIGNAL_CANDLE,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h22+3h,"[22, 23, 0]",False,620,88.6,0.3452,0.0398,11,1.061
SL_SIGNAL_CANDLE_PLUS_0_25,commodity,"['AUDCAD', 'AUDCHF', 'NZDCAD', 'NZDCHF']",h15+3h,"[15, 16, 17]",False,398,56.9,0.3417,0.0326,9,1.05
SL_SIGNAL_CANDLE_PLUS_0_25,eur_crosses,"['EURAUD', 'EURCAD', 'EURCHF', 'EURGBP', 'EURNZD']",h00+3h,"[0, 1, 2]",False,572,81.8,0.3462,0.0465,11,1.072
SL_SIGNAL_CANDLE_PLUS_0_25,jpy_pairs,"['AUDJPY', 'CADJPY', 'CHFJPY', 'EURJPY', 'GBPJPY', 'NZDJPY', 'USDJPY']",h12+3h,"[12, 13, 14]",True,945,135.1,0.3651,0.1519,16,1.252
SL_SIGNAL_CANDLE_PLUS_0_25,usd_majors,"['AUDUSD', 'EURUSD', 'GBPUSD', 'NZDUSD', 'USDCAD', 'USDCHF']",h22+3h,"[22, 23, 0]",False,620,88.6,0.3548,0.0688,12,1.107
