seed,sl_model,rr_multiple,sym_filter,window,n_feature_gates,gates,n_trades,trades_per_year,win_pct,sl_pct,timeout_pct,expectancy_r,max_losing_streak,profit_factor
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h10-12(3h),0,sym:jpy_pairs & win:h10-12(3h),805,115.1,0.3329,0.6348,0.0323,0.0502,15,1.079
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,gbp_pairs,h02-05(4h),0,sym:gbp_pairs & win:h02-05(4h),817,116.8,0.3329,0.6659,0.0012,0.0013,12,1.002
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,london_ny,0,sym:jpy_pairs & win:london_ny,3285,469.6,0.3327,0.6244,0.0429,0.0611,24,1.097
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,h12-14(3h),0,sym:eur_pairs & win:h12-14(3h),968,138.4,0.3326,0.6364,0.031,0.0435,11,1.068
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h02-05(4h),0,sym:aud_bloc & win:h02-05(4h),878,125.5,0.3326,0.6458,0.0216,0.032,17,1.049
ATR1_H8,SL_ATR_1_0,2.0,eur_pairs,h11-13(3h),0,sym:eur_pairs & win:h11-13(3h),869,124.2,0.3326,0.6651,0.0023,0.0003,10,1.0
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h11-13(3h),0,sym:high_vol & win:h11-13(3h),791,113.1,0.3325,0.6258,0.0417,0.0629,21,1.1
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h13-15(3h),0,sym:high_vol & win:h13-15(3h),845,120.8,0.3325,0.6438,0.0237,0.0343,11,1.053
AOI_FAR,SL_AOI_FAR,2.0,ALL,london_ny,1,bearish_aoi_midpoint>=0.545 & win:london_ny,1835,262.3,0.3324,0.6169,0.0507,0.0691,28,1.111
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h07-08,0,win:h07-08,2064,295.1,0.3324,0.655,0.0126,0.0151,17,1.023
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h01-02,0,win:h01-02,2057,294.1,0.332,0.6616,0.0063,0.0048,17,1.007
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h09-11(3h),0,sym:high_vol & win:h09-11(3h),796,113.8,0.3317,0.6457,0.0226,0.0268,17,1.041
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h04-07(4h),0,sym:jpy_pairs & win:h04-07(4h),1007,144.0,0.3317,0.6425,0.0258,0.032,21,1.05
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,asia_ld,1,bearish_htf_mid>=0.829 & win:asia_ld,709,101.4,0.3315,0.6615,0.0071,0.007,14,1.011
AOI_FAR,SL_AOI_FAR,2.0,ALL,h01,0,win:h01,1096,156.7,0.3312,0.6414,0.0274,0.0378,13,1.059
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,asia,0,sym:eur_pairs & win:asia,1368,195.6,0.3311,0.6637,0.0051,0.0012,15,1.002
AOI_FAR,SL_AOI_FAR,2.0,ALL,off_hours,1,bearish_aoi_midpoint>=0.545 & win:off_hours,1175,168.0,0.3311,0.6494,0.0196,0.0238,23,1.037
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h14-16(3h),0,sym:jpy_pairs & win:h14-16(3h),855,122.2,0.331,0.6105,0.0585,0.0793,15,1.129
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h14-17(4h),0,sym:usd_majors & win:h14-17(4h),982,140.4,0.331,0.6527,0.0163,0.0156,12,1.024
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,h13-15(3h),0,sym:eur_pairs & win:h13-15(3h),913,130.5,0.3308,0.6396,0.0296,0.0334,16,1.052
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h02-05(4h),0,sym:high_vol & win:h02-05(4h),883,126.2,0.3307,0.6478,0.0215,0.0246,18,1.038
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,jpy_pairs,h08-11(4h),0,sym:jpy_pairs & win:h08-11(4h),1050,150.1,0.3305,0.6571,0.0124,0.0124,15,1.019
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h07-09(3h),0,sym:high_vol & win:h07-09(3h),778,111.2,0.3303,0.653,0.0167,0.0192,16,1.029
AOI_FAR,SL_AOI_FAR,2.0,chf_pairs,h10-13(4h),0,sym:chf_pairs & win:h10-13(4h),863,123.4,0.3302,0.6234,0.0463,0.0524,11,1.083
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h12-13,0,win:h12-13,2220,317.4,0.3302,0.6468,0.023,0.0282,27,1.044
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h13-14,0,win:h13-14,2427,347.0,0.33,0.644,0.026,0.028,18,1.043
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h21-23(3h),0,sym:high_vol & win:h21-23(3h),709,101.4,0.33,0.6488,0.0212,0.0255,14,1.039
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h11-13(3h),0,sym:usd_majors & win:h11-13(3h),776,110.9,0.3299,0.6456,0.0245,0.031,16,1.048
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,h08-11(4h),0,sym:high_vol & win:h08-11(4h),1037,148.2,0.3298,0.6596,0.0106,0.0088,17,1.013
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h13-15(3h),0,win:h13-15(3h),3444,492.3,0.3298,0.6475,0.0226,0.0221,16,1.034
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,nzd_bloc,h14-17(4h),0,sym:nzd_bloc & win:h14-17(4h),892,127.5,0.3296,0.6592,0.0112,0.0083,11,1.013
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h15,0,win:h15,1017,145.4,0.3294,0.6559,0.0147,0.0081,22,1.012
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h15-17(3h),0,sym:jpy_pairs & win:h15-17(3h),738,105.5,0.3293,0.626,0.0447,0.061,12,1.097
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h12-14(3h),0,sym:high_vol & win:h12-14(3h),863,123.4,0.3291,0.6141,0.0568,0.0724,16,1.117
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,chf_pairs,h12-14(3h),0,sym:chf_pairs & win:h12-14(3h),717,102.5,0.3291,0.6513,0.0195,0.0177,11,1.027
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h06-09(4h),0,sym:jpy_pairs & win:h06-09(4h),1088,155.5,0.329,0.6342,0.0368,0.0346,20,1.054
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h12-14(3h),0,sym:usd_majors & win:h12-14(3h),836,119.5,0.3289,0.64,0.0311,0.0356,13,1.055
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h05-07(3h),0,sym:jpy_pairs & win:h05-07(3h),821,117.4,0.3289,0.6443,0.0268,0.026,16,1.04
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h11-13(3h),0,win:h11-13(3h),3160,451.7,0.3288,0.6538,0.0174,0.0149,21,1.023
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h10-12(3h),0,sym:high_vol & win:h10-12(3h),788,112.6,0.3287,0.6434,0.0279,0.0264,15,1.041
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,ny,0,sym:usd_majors & win:ny,1524,217.9,0.3287,0.6483,0.023,0.0219,16,1.034
AOI_FAR,SL_AOI_FAR,2.0,high_vol,asia,0,sym:high_vol & win:asia,1447,206.9,0.3283,0.6475,0.0242,0.0221,17,1.034
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h01-03(3h),0,sym:aud_bloc & win:h01-03(3h),765,109.4,0.3281,0.6392,0.0327,0.0373,20,1.058
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h22-00(3h),0,sym:eur_pairs & win:h22-00(3h),832,118.9,0.3281,0.6514,0.0204,0.0188,13,1.029
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h08-10(3h),0,sym:high_vol & win:h08-10(3h),784,112.1,0.3278,0.6378,0.0344,0.0347,16,1.054
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h14-16(3h),0,sym:usd_majors & win:h14-16(3h),775,110.8,0.3277,0.6529,0.0194,0.0093,11,1.014
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,nzd_bloc,ny,0,sym:nzd_bloc & win:ny,1410,201.6,0.3277,0.661,0.0113,0.0008,14,1.001
AOI_FAR,SL_AOI_FAR,2.0,ALL,h03-05(3h),0,win:h03-05(3h),2302,329.1,0.3275,0.6538,0.0187,0.0116,14,1.018
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h04-07(4h),0,sym:gbp_pairs & win:h04-07(4h),990,141.5,0.3273,0.6444,0.0283,0.0208,19,1.032
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h12-15(4h),0,win:h12-15(4h),4473,639.4,0.3273,0.6497,0.023,0.0161,19,1.025
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,eur_pairs,h12-15(4h),0,sym:eur_pairs & win:h12-15(4h),1211,173.1,0.327,0.6457,0.0273,0.02,15,1.031
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,chf_pairs,h12-15(4h),0,sym:chf_pairs & win:h12-15(4h),942,134.7,0.327,0.6539,0.0191,0.0112,13,1.017
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h12-14(3h),0,win:h12-14(3h),3456,494.1,0.3267,0.6479,0.0255,0.0184,21,1.028
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h16-19(4h),0,sym:jpy_pairs & win:h16-19(4h),907,129.7,0.3264,0.6406,0.0331,0.033,14,1.051
AOI_FAR,SL_AOI_FAR,2.0,high_vol,off_hours,0,sym:high_vol & win:off_hours,2311,330.4,0.3263,0.6517,0.0221,0.0139,17,1.021
AOI_FAR,SL_AOI_FAR,2.0,ALL,h17,0,win:h17,880,125.8,0.3261,0.6489,0.025,0.0253,15,1.039
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,aud_bloc,h13-15(3h),0,sym:aud_bloc & win:h13-15(3h),759,108.5,0.3254,0.6561,0.0184,0.0056,15,1.008
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h20-23(4h),0,sym:eur_pairs & win:h20-23(4h),910,130.1,0.3253,0.656,0.0187,0.0061,18,1.009
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,high_vol,ny,0,sym:high_vol & win:ny,1497,214.0,0.3253,0.6593,0.0154,0.0003,17,1.0
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h06-09(4h),0,sym:gbp_pairs & win:h06-09(4h),1168,167.0,0.3253,0.631,0.0437,0.0392,16,1.062
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h06-08(3h),0,sym:jpy_pairs & win:h06-08(3h),813,116.2,0.3247,0.6384,0.0369,0.0239,16,1.037
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,london,0,sym:jpy_pairs & win:london,1602,229.0,0.3246,0.6429,0.0325,0.0163,20,1.025
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,h09-11(3h),0,sym:jpy_pairs & win:h09-11(3h),789,112.8,0.3245,0.6477,0.0279,0.0084,16,1.013
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h14-15,0,win:h14-15,2253,322.1,0.3245,0.6525,0.0231,0.0041,20,1.006
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,ny,0,win:ny,6150,879.2,0.3244,0.6576,0.018,0.0001,22,1.0
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h07-09(3h),0,sym:high_vol & win:h07-09(3h),778,111.2,0.3239,0.6311,0.045,0.038,15,1.06
AOI_FAR,SL_AOI_FAR,2.0,high_vol,asia_ld,0,sym:high_vol & win:asia_ld,3008,430.0,0.3238,0.6463,0.0299,0.0155,19,1.024
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h16-19(4h),0,sym:high_vol & win:h16-19(4h),831,118.8,0.3237,0.6582,0.0181,0.0017,14,1.003
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h12-15(4h),0,sym:high_vol & win:h12-15(4h),1098,157.0,0.3233,0.623,0.0537,0.0513,22,1.082
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h07-09(3h),0,sym:gbp_pairs & win:h07-09(3h),891,127.4,0.3232,0.6296,0.0471,0.0374,20,1.059
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,asia,0,sym:aud_bloc & win:asia,1427,204.0,0.3231,0.651,0.0259,0.01,27,1.015
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h23-01(3h),0,sym:usd_majors & win:h23-01(3h),740,105.8,0.323,0.6527,0.0243,0.0019,17,1.003
AOI_FAR,SL_AOI_FAR,2.0,chf_pairs,h04-07(4h),0,sym:chf_pairs & win:h04-07(4h),799,114.2,0.3229,0.6521,0.025,0.009,15,1.014
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h20-23(4h),0,sym:high_vol & win:h20-23(4h),864,123.5,0.3229,0.6586,0.0185,0.0002,18,1.0
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h10-13(4h),0,sym:high_vol & win:h10-13(4h),1073,153.4,0.3225,0.6412,0.0363,0.023,17,1.036
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h00-02(3h),0,sym:high_vol & win:h00-02(3h),816,116.7,0.3223,0.6507,0.027,0.0104,15,1.016
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,usd_majors,h10-13(4h),0,sym:usd_majors & win:h10-13(4h),1021,146.0,0.3222,0.6572,0.0206,0.0007,14,1.001
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,asia_ld,0,sym:eur_pairs & win:asia_ld,2976,425.4,0.3219,0.6512,0.0269,0.0063,22,1.01
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h00-03(4h),0,sym:high_vol & win:h00-03(4h),1023,146.2,0.3216,0.651,0.0274,0.0088,13,1.014
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h06-08(3h),0,sym:gbp_pairs & win:h06-08(3h),883,126.2,0.3216,0.6353,0.043,0.0279,13,1.044
AOI_FAR,SL_AOI_FAR,2.0,jpy_pairs,asia_ld,0,sym:jpy_pairs & win:asia_ld,3146,449.7,0.3214,0.6497,0.0289,0.0059,25,1.009
AOI_FAR,SL_AOI_FAR,2.0,high_vol,ny,0,sym:high_vol & win:ny,1497,214.0,0.3206,0.6339,0.0454,0.0323,30,1.051
SIG_CANDLE,SL_SIGNAL_CANDLE,2.0,ALL,h14,0,win:h14,1236,176.7,0.3204,0.6497,0.0299,0.0009,16,1.001
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h14-17(4h),0,sym:high_vol & win:h14-17(4h),959,137.1,0.3201,0.6371,0.0428,0.0253,20,1.039
AOI_FAR,SL_AOI_FAR,2.0,high_vol,london_ny,0,sym:high_vol & win:london_ny,3058,437.2,0.3201,0.6396,0.0402,0.0205,23,1.032
AOI_FAR,SL_AOI_FAR,2.0,high_vol,london,0,sym:high_vol & win:london,1561,223.2,0.3197,0.6451,0.0352,0.0093,21,1.014
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h08-10(3h),0,sym:gbp_pairs & win:h08-10(3h),883,126.2,0.3194,0.6387,0.0419,0.0169,12,1.026
AOI_FAR,SL_AOI_FAR,2.0,ALL,ny,1,bearish_aoi_midpoint>=0.545 & win:ny,902,128.9,0.3193,0.6164,0.0643,0.046,16,1.074
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h16-19(4h),0,sym:usd_majors & win:h16-19(4h),799,114.2,0.3191,0.6471,0.0338,0.0101,17,1.016
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h22-00(3h),0,sym:high_vol & win:h22-00(3h),815,116.5,0.319,0.6564,0.0245,0.0001,17,1.0
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h12-15(4h),0,sym:aud_bloc & win:h12-15(4h),997,142.5,0.319,0.6239,0.0572,0.0415,14,1.066
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h08-11(4h),0,sym:gbp_pairs & win:h08-11(4h),1182,169.0,0.319,0.6447,0.0364,0.0076,17,1.012
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h13-15(3h),0,sym:high_vol & win:h13-15(3h),845,120.8,0.3183,0.6237,0.058,0.0428,19,1.068
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,london,0,sym:gbp_pairs & win:london,1778,254.2,0.3183,0.644,0.0377,0.0078,19,1.012
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h14-17(4h),0,sym:aud_bloc & win:h14-17(4h),877,125.4,0.3181,0.642,0.0399,0.0097,15,1.015
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h06-09(4h),0,sym:high_vol & win:h06-09(4h),1026,146.7,0.3177,0.6404,0.0419,0.0135,16,1.021
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h14-17(4h),0,sym:usd_majors & win:h14-17(4h),982,140.4,0.3167,0.6324,0.0509,0.0266,18,1.042
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,ny,0,sym:usd_majors & win:ny,1524,217.9,0.3163,0.6253,0.0584,0.0376,19,1.06
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h13-15(3h),0,sym:aud_bloc & win:h13-15(3h),759,108.5,0.3162,0.6232,0.0606,0.0358,13,1.057
AOI_FAR,SL_AOI_FAR,2.0,high_vol,h14-16(3h),0,sym:high_vol & win:h14-16(3h),744,106.4,0.3159,0.6344,0.0497,0.0197,14,1.031
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h11-13(3h),0,sym:usd_majors & win:h11-13(3h),776,110.9,0.3157,0.6276,0.0567,0.0343,20,1.054
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h11-13(3h),0,sym:aud_bloc & win:h11-13(3h),700,100.1,0.3157,0.6386,0.0457,0.0201,18,1.031
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h14-16(3h),0,sym:gbp_pairs & win:h14-16(3h),859,122.8,0.3155,0.6251,0.0594,0.0242,15,1.038
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h14-16(3h),0,sym:usd_majors & win:h14-16(3h),775,110.8,0.3148,0.6297,0.0555,0.0248,14,1.039
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,ny,0,sym:aud_bloc & win:ny,1373,196.3,0.3146,0.6387,0.0466,0.0136,14,1.021
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h11-13(3h),0,sym:eur_pairs & win:h11-13(3h),869,124.2,0.3142,0.6249,0.061,0.0316,15,1.05
AOI_FAR,SL_AOI_FAR,2.0,ALL,h13,0,win:h13,1191,170.3,0.314,0.6163,0.0697,0.0424,16,1.068
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h13-15(3h),0,sym:usd_majors & win:h13-15(3h),891,127.4,0.3131,0.6251,0.0617,0.0279,14,1.044
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,london_ny,0,sym:gbp_pairs & win:london_ny,3459,494.5,0.3125,0.6392,0.0483,0.0047,19,1.007
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h14-17(4h),0,sym:gbp_pairs & win:h14-17(4h),1093,156.2,0.312,0.6359,0.0522,0.0098,15,1.015
AOI_FAR,SL_AOI_FAR,2.0,ALL,h11-13(3h),0,win:h11-13(3h),3160,451.7,0.3111,0.637,0.0519,0.0091,21,1.014
AOI_FAR,SL_AOI_FAR,2.0,ALL,h15,0,win:h15,1017,145.4,0.3107,0.6401,0.0492,0.0055,14,1.008
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h12-15(4h),0,sym:usd_majors & win:h12-15(4h),1115,159.4,0.3103,0.626,0.0637,0.0262,15,1.041
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h10-13(4h),0,sym:eur_pairs & win:h10-13(4h),1145,163.7,0.31,0.641,0.0489,0.0017,17,1.003
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h10-13(4h),0,sym:usd_majors & win:h10-13(4h),1021,146.0,0.3095,0.6386,0.0519,0.0061,14,1.009
AOI_FAR,SL_AOI_FAR,2.0,ALL,h12-13,0,win:h12-13,2220,317.4,0.3086,0.6257,0.0658,0.0225,18,1.036
AOI_FAR,SL_AOI_FAR,2.0,aud_bloc,h12-14(3h),0,sym:aud_bloc & win:h12-14(3h),765,109.4,0.3072,0.6314,0.0614,0.0135,12,1.021
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,ny,0,sym:gbp_pairs & win:ny,1681,240.3,0.3064,0.6341,0.0595,0.0014,17,1.002
AOI_FAR,SL_AOI_FAR,2.0,usd_majors,h12-14(3h),0,sym:usd_majors & win:h12-14(3h),836,119.5,0.3062,0.6256,0.0682,0.019,13,1.03
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h12-15(4h),0,sym:gbp_pairs & win:h12-15(4h),1226,175.3,0.3059,0.624,0.0701,0.01,17,1.016
AOI_FAR,SL_AOI_FAR,2.0,ALL,h13-15(3h),0,win:h13-15(3h),3444,492.3,0.3057,0.6304,0.0639,0.0081,20,1.013
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h13-15(3h),0,sym:gbp_pairs & win:h13-15(3h),951,136.0,0.3049,0.6236,0.0715,0.0055,15,1.009
AOI_FAR,SL_AOI_FAR,2.0,ALL,h12-15(4h),0,win:h12-15(4h),4473,639.4,0.3049,0.6318,0.0633,0.0061,22,1.01
AOI_FAR,SL_AOI_FAR,2.0,gbp_pairs,h12-14(3h),0,sym:gbp_pairs & win:h12-14(3h),952,136.1,0.3046,0.6229,0.0725,0.0069,22,1.011
AOI_FAR,SL_AOI_FAR,2.0,ALL,h13-14,0,win:h13-14,2427,347.0,0.3037,0.6263,0.07,0.0091,18,1.014
AOI_FAR,SL_AOI_FAR,2.0,ALL,h12-14(3h),0,win:h12-14(3h),3456,494.1,0.3032,0.6293,0.0674,0.0063,20,1.01
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h13-15(3h),0,sym:eur_pairs & win:h13-15(3h),913,130.5,0.3001,0.6276,0.0723,0.0055,18,1.009
AOI_FAR,SL_AOI_FAR,2.0,eur_pairs,h12-14(3h),0,sym:eur_pairs & win:h12-14(3h),968,138.4,0.2986,0.6198,0.0816,0.0145,14,1.023
